S,V,E,EV,I,IV,H,HV,R,RV,D
0.99007,0.0,0.00842,0.0,0.00151,0.0,0.0,0.0,0.0,0.0,0.0
0.9804599999999999,0.0,0.01675,0.0,0.00261,0.0,0.0,0.0,0.00017999999999999998,0.0,0.0
0.96767,0.0,0.027039999999999998,0.0,0.00472,0.0,2e-05,0.0,0.0005499999999999999,0.0,0.0
0.9500700000000002,0.0,0.04077,0.0,0.00795,0.0,6.000000000000001e-05,0.0,0.00114,0.0,1e-05
0.9299299999999999,0.0,0.05521,0.0,0.01247,0.0,0.00015000000000000001,0.0,0.00222,0.0,2e-05
0.9076000000000001,0.0,0.07014000000000001,0.0,0.01795,0.0,0.00023999999999999998,0.0,0.00405,0.0,2e-05
0.88344,0.0,0.0843,0.0,0.025280000000000004,0.0,0.00032999999999999994,0.0,0.006620000000000001,0.0,3.0000000000000004e-05
0.8566600000000001,0.0,0.09939999999999999,0.0,0.03284,0.0,0.00051,0.0,0.01056,0.0,3.0000000000000004e-05
0.8287700000000001,0.0,0.11291999999999999,0.0,0.042519999999999995,0.0,0.00074,0.0,0.015000000000000003,0.0,5e-05
0.7988899999999999,0.0,0.12630000000000002,0.0,0.05292,0.0,0.00099,0.0,0.0208,0.0,0.0001
0.76805,0.0,0.13966,0.0,0.062419999999999996,0.0,0.0012699999999999999,0.0,0.028470000000000002,0.0,0.00013000000000000002
0.73655,0.0,0.15141,0.0,0.07337,0.0,0.0016099999999999999,0.0,0.036829999999999995,0.0,0.00023000000000000003
0.70202,0.0,0.16458,0.0,0.08356000000000001,0.0,0.0020299999999999997,0.0,0.04751999999999999,0.0,0.00029
0.6649400000000001,0.0,0.17862,0.0,0.09358,0.0,0.0024800000000000004,0.0,0.06003000000000001,0.0,0.00035
0.6271000000000001,0.0,0.19129999999999997,0.0,0.10503,0.0,0.00309,0.0,0.07307,0.0,0.00041000000000000005
0.58674,0.0,0.20499,0.0,0.11606999999999998,0.0,0.00368,0.0,0.08801,0.0,0.0005099999999999999
0.5458899999999999,0.0,0.21712000000000004,0.0,0.12731,0.0,0.00431,0.0,0.10472,0.0,0.0006500000000000001
0.5039,0.0,0.22883,0.0,0.13907999999999998,0.0,0.0049099999999999994,0.0,0.12255,0.0,0.0007300000000000001
0.4631800000000001,0.0,0.23807999999999999,0.0,0.15085,0.0,0.005639999999999999,0.0,0.14135999999999999,0.0,0.00089
0.4219100000000001,0.0,0.24595000000000003,0.0,0.16282999999999997,0.0,0.0064399999999999995,0.0,0.16188,0.0,0.00099
0.38149,0.0,0.25233,0.0,0.17336000000000001,0.0,0.0071400000000000005,0.0,0.18449,0.0,0.00119
0.34015,0.0,0.2592,0.0,0.18342,0.0,0.008069999999999999,0.0,0.20781999999999998,0.0,0.00134
0.3006,0.0,0.26368,0.0,0.19236,0.0,0.00876,0.0,0.23304,0.0,0.0015600000000000002
0.26321000000000006,0.0,0.26536000000000004,0.0,0.19974,0.0,0.009769999999999997,0.0,0.26004,0.0,0.0018799999999999997
0.22746999999999998,0.0,0.26597,0.0,0.20747999999999997,0.0,0.01054,0.0,0.28644000000000003,0.0,0.0021000000000000003
0.19390000000000002,0.0,0.2645,0.0,0.21368,0.0,0.01141,0.0,0.31417000000000006,0.0,0.00234
0.16367,0.0,0.25941000000000003,0.0,0.21800999999999998,0.0,0.012539999999999999,0.0,0.34371,0.0,0.0026599999999999996
0.13535999999999998,0.0,0.25389,0.0,0.22207,0.0,0.01327,0.0,0.3725,0.0,0.0029100000000000003
0.11201999999999998,0.0,0.24386000000000002,0.0,0.22462999999999997,0.0,0.01408,0.0,0.4022500000000001,0.0,0.0031600000000000005
0.09087999999999999,0.0,0.23397999999999994,0.0,0.22530999999999998,0.0,0.014890000000000004,0.0,0.43156,0.0,0.00338
0.07305999999999999,0.0,0.22123999999999996,0.0,0.22487,0.0,0.015569999999999997,0.0,0.46155,0.0,0.0037099999999999993
0.05839,0.0,0.20758000000000001,0.0,0.22230999999999995,0.0,0.0161,0.0,0.49155,0.0,0.00407
0.04755000000000001,0.0,0.19377000000000005,0.0,0.21783999999999998,0.0,0.01651,0.0,0.51992,0.0,0.00441
0.03889,0.0,0.17816,0.0,0.21283000000000002,0.0,0.017040000000000003,0.0,0.54819,0.0,0.00489
0.031970000000000005,0.0,0.16468,0.0,0.20486999999999997,0.0,0.01739,0.0,0.5757999999999999,0.0,0.0052899999999999996
0.02741,0.0,0.15127000000000002,0.0,0.19643,0.0,0.017620000000000004,0.0,0.60167,0.0,0.005599999999999999
0.02341,0.0,0.13819,0.0,0.18874,0.0,0.017810000000000003,0.0,0.62595,0.0,0.005899999999999999
0.02136,0.0,0.12564,0.0,0.18016000000000001,0.0,0.01784,0.0,0.6487599999999999,0.0,0.006240000000000001
0.01923,0.0,0.11487,0.0,0.17078,0.0,0.018209999999999997,0.0,0.6704,0.0,0.006509999999999999
