S,V,E,EV,I,IV,H,HV,R,RV,D
0.9396700000000001,0.050390000000000004,0.008629999999999999,0.0,0.0013100000000000002,0.0,0.0,0.0,0.0,0.0,0.0
0.8857200000000001,0.0968,0.01492,0.00013000000000000002,0.0022,0.0,1e-05,0.0,0.00021999999999999998,0.0,0.0
0.83266,0.14031,0.02173,0.00054,0.00417,2e-05,1e-05,0.0,0.00056,0.0,0.0
0.77886,0.17986000000000002,0.03174,0.0016200000000000003,0.0066500000000000005,8.000000000000002e-05,7e-05,0.0,0.00112,0.0,0.0
0.72737,0.21572999999999998,0.04123,0.00296,0.010280000000000001,0.0003200000000000001,0.00013,0.0,0.0019700000000000004,1e-05,0.0
0.6777400000000001,0.24681000000000003,0.05088,0.005710000000000001,0.014669999999999999,0.00056,0.0002,1e-05,0.0033600000000000006,5e-05,1e-05
0.6284400000000001,0.27615999999999996,0.059860000000000003,0.008539999999999999,0.01981,0.0012100000000000001,0.0003,2e-05,0.005509999999999999,0.00014,1e-05
0.58272,0.30071,0.06741000000000001,0.01233,0.025489999999999995,0.00229,0.00042000000000000007,2e-05,0.00826,0.00033000000000000005,2e-05
0.53878,0.32239,0.07387,0.016620000000000003,0.03147,0.0036999999999999997,0.00069,4e-05,0.011760000000000001,0.00065,3.0000000000000004e-05
0.49867000000000006,0.33992,0.07931999999999999,0.02104,0.03689,0.00587,0.00088,4e-05,0.016220000000000002,0.0011,5e-05
0.46069000000000004,0.3540999999999999,0.08401,0.026239999999999996,0.04212,0.00796,0.0011299999999999997,6.000000000000001e-05,0.021700000000000004,0.0019299999999999999,6.000000000000001e-05
0.42390999999999995,0.3660500000000001,0.08808,0.03157,0.04760999999999999,0.01075,0.00137,0.0001,0.0274,0.00306,0.00010000000000000002
0.39019,0.37517,0.09076000000000001,0.037290000000000004,0.052390000000000006,0.01351,0.0018,0.00012000000000000002,0.03385,0.0047599999999999995,0.00015999999999999999
0.35797999999999996,0.38270000000000004,0.09185999999999998,0.042319999999999997,0.05784,0.017099999999999997,0.0021100000000000003,0.00016000000000000004,0.04107000000000001,0.006670000000000001,0.00019
0.32738999999999996,0.3865,0.09358000000000001,0.04819,0.06258999999999999,0.020749999999999998,0.0023599999999999997,0.00025,0.04893,0.00921,0.00025
0.29934000000000005,0.38699999999999996,0.09459,0.054459999999999995,0.06668,0.02483,0.0027899999999999995,0.00035,0.05747,0.012209999999999999,0.00028
0.2834,0.39652,0.08458,0.0503,0.07022999999999999,0.028589999999999997,0.0031200000000000004,0.00043,0.06656,0.01582,0.00045000000000000004
0.26846000000000003,0.40429000000000004,0.07639,0.046900000000000004,0.07168,0.03153,0.00344,0.00059,0.07618,0.02005,0.00049
0.25340999999999997,0.41141000000000005,0.06984,0.044969999999999996,0.07132999999999999,0.03352999999999999,0.00366,0.00066,0.08626,0.024310000000000005,0.0006200000000000001
0.24102,0.41658,0.06405000000000001,0.04284999999999999,0.06977000000000001,0.035019999999999996,0.00402,0.0007700000000000001,0.09614,0.029029999999999993,0.00075
0.22874,0.42173,0.05786,0.04121999999999999,0.06876,0.03609999999999999,0.004409999999999999,0.00086,0.10549,0.03398,0.0008500000000000001
0.21619000000000002,0.42607,0.05395,0.04056,0.06677,0.03665,0.00458,0.00098,0.11421,0.03902,0.0010199999999999999
0.2052,0.42963000000000007,0.04985,0.03983,0.0638,0.03715,0.0045899999999999995,0.00104,0.12372000000000001,0.043980000000000005,0.00121
0.19467,0.43343,0.046299999999999994,0.03844000000000001,0.06139,0.03719000000000001,0.004919999999999999,0.0011100000000000003,0.13174999999999998,0.049510000000000005,0.00129
0.18475,0.43592000000000003,0.04323,0.03823,0.05837000000000001,0.036919999999999994,0.004960000000000001,0.00116,0.14001999999999998,0.05505,0.0013900000000000002
0.17658,0.43701,0.03999,0.038040000000000004,0.056459999999999996,0.03672,0.00494,0.0012600000000000003,0.14723999999999998,0.060230000000000006,0.00153
0.16797,0.43897,0.03734,0.037129999999999996,0.054299999999999994,0.03626,0.0049099999999999994,0.0013999999999999998,0.15402000000000002,0.06601,0.0016899999999999999
0.1607,0.44025,0.0349,0.03639,0.05134000000000001,0.03591,0.004829999999999999,0.0013700000000000001,0.16082000000000002,0.07157,0.0019199999999999998
0.15297999999999998,0.4412,0.03277,0.036410000000000005,0.04827,0.036030000000000006,0.004829999999999999,0.0014799999999999998,0.16755,0.07643000000000003,0.0020499999999999997
0.14640999999999998,0.44166,0.030779999999999995,0.03613999999999999,0.04554999999999999,0.03597,0.0048000000000000004,0.00152,0.1734,0.08154,0.00223
