S,V,E,EV,E+EV,I,IV,I+IV,H,HV,H+HV,R,RV,,D
0.94084,0.04920999999999999,0.00851,0.0,0.00851,0.00144,0.0,0.00144,0.0,0.0,0,0.0,0.0,0,0.0
0.88673,0.09513999999999997,0.015149999999999997,0.00013000000000000004,0.01528,0.00261,0.0,0.00261,0.00001,0.0,0.00001,0.00023000000000000003,0.0,0.00023,0.0
0.83137,0.13878000000000001,0.02422,0.0006099999999999999,0.02483,0.00436,0.00001,0.00437,0.00004,0.0,0.00004,0.0006100000000000001,0.0,0.00061,0.0
0.7781099999999999,0.17857,0.03304,0.0014500000000000001,0.03449,0.0075499999999999986,6.000000000000001e-05,0.00761,7.000000000000001e-05,0.0,0.00007,0.0011500000000000004,0.0,0.00115,0.0
0.72524,0.21395999999999998,44,0.00351,44.00351,0.01073,0.0002,0.01093,0.00011999999999999999,0.0,0.00012,0.00224,0.0,0.00224,0.0
0.67501,0.24603000000000003,0.05323,0.00559,0.05882,0.01532,0.0008,0.01612,0.00017,0.0,0.00017,0.003829999999999999,0.00002,0.00385,0.0
0.6267799999999999,0.27403,0.06122000000000001,0.00885,0.07007,0.021009999999999997,0.0014899999999999998,0.0225,0.00029,0.0,0.00029,0.00619,0.00012000000000000002,0.00631,0.00002
0.58041,0.29886,0.06939000000000001,0.01268,0.08207,0.025739999999999996,0.0025200000000000005,0.02826,0.00046,0.00002,0.00048,0.009470000000000001,0.00038999999999999994,0.00986,6.000000000000001e-05
0.53675,0.32096,0.07489,0.016739999999999998,0.09163,32,0.00409,32.00409,0.0006200000000000001,3.0000000000000004e-05,0.00065,0.013139999999999999,0.00069,0.01383,8.999999999999999e-05
0.49650999999999995,0.33787,0.08023000000000001,0.02156,0.10179,0.038049999999999994,0.005859999999999999,0.04391,0.00095,0.00005,0.001,0.01743,0.0013800000000000002,0.01881,0.00011
0.45813,0.35204,0.08474000000000001,0.026589999999999996,0.11133,0.043890000000000005,0.00822,0.05211,0.0012,6.000000000000001e-05,0.00126,0.022719999999999997,0.0022499999999999994,0.02497,0.00016000000000000004
0.42147000000000007,0.36304,0.08892999999999998,0.03211,0.12104,0.049460000000000004,0.01095,0.06041,0.00142,0.00011,0.00153,0.028849999999999997,0.0034500000000000004,0.0323,0.00020999999999999998
0.38630000000000003,0.37189999999999995,0.09221,0.038239999999999996,0.13045,0.054189999999999995,0.01409,0.06828,0.0016500000000000004,0.00013000000000000002,0.00178,0.036180000000000004,0.004880000000000001,0.04106,0.00023
0.35417,0.37865000000000004,0.09333,0.043789999999999996,0.13712,0.05937,0.01736,0.07673,0.00196,0.00017,0.00213,44,0.00693,44.00693,0.00027
0.32281,0.38190999999999997,0.09591,0.05073000000000001,0.14664,0.06325,0.020830000000000005,0.08408,0.00227,0.00023000000000000003,0.0025,0.052469999999999996,0.00926,0.06173,0.00033
0.29505,0.38258999999999993,0.09642999999999999,0.057089999999999995,0.15352,0.06664,0.0249,0.09154,0.0027,0.00035,0.00305,0.061439999999999995,0.012410000000000001,0.07385,0.0004
0.26773,0.38175000000000003,0.09766999999999999,0.06272,0.16039,0.07073,0.02953,0.10026,0.00292,0.0004,0.00332,0.07011,0.01595,0.08606,0.00049
0.24291999999999997,0.37767999999999996,0.09828,0.06865,0.16693,0.07348999999999999,0.034350000000000006,0.10784,0.00337,0.00057,0.00394,0.08005999999999999,0.02009,0.10015,0.00054
0.22043999999999997,0.37120000000000003,0.09749,0.07505999999999999,0.17255,0.07646,0.03928999999999999,0.11575,0.00383,0.00068,0.00451,0.09,0.02487,0.11487,0.0006799999999999999
0.19883,0.36396999999999996,0.0965,81,81.0965,0.07906,0.04351000000000001,0.12257,0.004169999999999999,0.00073,0.0049,0.10036,0.031059999999999997,0.13142,0.00081
0.17927,0.3537,0.09526,0.08741,0.18267,0.08159999999999999,0.04848999999999999,0.13009,0.004690000000000001,0.0008200000000000001,0.00551,0.1106,0.03723,0.14783,0.00093
0.16036999999999998,0.34260999999999997,0.09438000000000002,0.09339,0.18777,0.08192,0.0533,0.13522,0.00503,0.0009299999999999999,0.00596,0.12244999999999999,0.0446,0.16705,0.0010199999999999999
0.1437,0.33036,0.09298000000000001,0.09823,0.19121,0.08267,0.05822999999999999,0.1409,0.00532,0.00109,0.00641,0.1336,0.05267000000000001,0.18627,0.00115
0.12775999999999998,0.31659,0.09134,0.10327000000000001,0.19461,0.08361,0.06372,0.14733,0.00556,0.0012799999999999999,0.00684,0.14443,0.061160000000000006,0.20559,0.00128
0.11400000000000002,0.30116,0.08790000000000002,0.10896999999999998,0.19687,0.08421000000000001,0.06874,0.15295,0.005849999999999999,0.00149,0.00734,0.15589000000000003,0.07033,0.22622,0.00146
0.10097,0.28406000000000003,0.08585000000000001,0.11488000000000001,0.20073,0.08432,0.07406,0.15838,0.005939999999999999,0.0017099999999999997,0.00765,0.16657,0.07996,0.24653,0.0016799999999999999
0.08895,0.26706,0.08350000000000002,0.1192,0.2027,0.08360000000000001,0.07908,0.16268,0.00607,0.0018700000000000001,0.00794,0.1779,0.09083,0.26873,0.0019400000000000003
0.07899,0.24968000000000004,0.08060999999999999,0.12259,0.2032,0.08202999999999999,0.08421999999999999,0.16625,0.0064600000000000005,0.00211,0.00857,0.18928,0.10189,0.29117,0.00214
0.06877,0.23281000000000002,0.07822,0.12430000000000001,0.20252,0.08130000000000001,0.09,0.1713,0.00676,0.00228,0.00904,0.19954,0.11366000000000001,0.3132,0.0023599999999999997
0.06015,0.21572999999999998,0.07507,0.12512,0.20019,0.08065999999999998,0.09528,0.17594,0.00701,0.0024999999999999996,0.00951,0.20954,0.12631,0.33585,0.00263
