S,I,R
0.9898000000000001,0.010199999999999999,0.0
0.9896,0.0104,0.0
0.9896,0.0103,0.0001
0.9894000000000001,0.010499999999999999,0.0001
0.9894000000000001,0.010499999999999999,0.0001
0.9892,0.010599999999999998,0.0002
0.9890000000000001,0.010799999999999999,0.0002
0.9890000000000001,0.010799999999999999,0.0002
0.9888,0.010899999999999996,0.00030000000000000003
0.9884000000000001,0.011199999999999998,0.0004
0.9883,0.011299999999999998,0.0004
0.9880000000000001,0.011599999999999997,0.0004
0.9878,0.011799999999999998,0.0004
0.9875999999999999,0.011799999999999998,0.0006000000000000001
0.9872,0.012099999999999998,0.0007
0.9870000000000001,0.012099999999999998,0.0009000000000000001
0.9870000000000001,0.011899999999999999,0.0010999999999999998
0.9870000000000001,0.011699999999999999,0.0013000000000000002
0.9868000000000002,0.0118,0.0014000000000000002
0.9865,0.0121,0.0014000000000000002
0.9863000000000002,0.0123,0.0014000000000000002
0.9859,0.0126,0.0015000000000000002
0.9854,0.013000000000000001,0.0016
0.985,0.0134,0.0016
0.9845,0.013800000000000002,0.0017000000000000001
0.9843,0.014000000000000002,0.0017000000000000001
0.9839,0.0144,0.0017000000000000001
0.9834999999999999,0.014799999999999999,0.0017000000000000001
0.9828999999999999,0.0153,0.0018000000000000002
0.9823999999999998,0.0158,0.0018000000000000002
0.9819999999999999,0.016,0.002
0.9816999999999998,0.016099999999999996,0.0021999999999999997
0.9812,0.016499999999999997,0.0023
0.9808999999999999,0.0167,0.0024000000000000002
0.9808999999999999,0.016599999999999997,0.0025
0.9805999999999999,0.0169,0.0025
0.9799999999999999,0.017499999999999998,0.0025
0.9795999999999999,0.0179,0.0025
0.9788,0.0187,0.0025
0.9783,0.019,0.0027
0.9780999999999999,0.018999999999999996,0.0029000000000000002
0.9774,0.0196,0.003
0.9769000000000002,0.019999999999999997,0.0031000000000000003
0.9762000000000001,0.0207,0.0031000000000000003
0.9761,0.0208,0.0031000000000000003
0.9756,0.0211,0.0033
0.9751999999999998,0.0215,0.0033
0.9747,0.021899999999999996,0.0034000000000000002
0.9739999999999999,0.022399999999999996,0.0036000000000000003
0.9736999999999998,0.022699999999999998,0.0036000000000000003
0.9730000000000001,0.023199999999999995,0.0038
0.9722999999999999,0.023799999999999995,0.0039
0.9717999999999998,0.024299999999999995,0.0039
0.9711000000000001,0.0249,0.004
0.9705,0.0254,0.0040999999999999995
0.9705,0.0253,0.0042
0.9696999999999999,0.026000000000000002,0.0043
0.9691999999999998,0.0262,0.0046
0.9687999999999999,0.026600000000000002,0.0046
0.9686999999999998,0.026600000000000002,0.004699999999999999
0.9675999999999998,0.027600000000000003,0.0048
0.9667999999999999,0.028300000000000002,0.0049
0.9659999999999999,0.029000000000000005,0.004999999999999999
0.9652,0.029500000000000005,0.0053
0.9648,0.029900000000000003,0.0053
0.9647,0.029600000000000005,0.0057
0.9641000000000002,0.029900000000000003,0.006
0.9634,0.030500000000000006,0.0060999999999999995
0.9629999999999999,0.030800000000000004,0.0062
0.9622999999999999,0.031400000000000004,0.0063
0.9616,0.032100000000000004,0.0063
0.9607000000000001,0.032900000000000006,0.0064
0.9591999999999998,0.0342,0.0066
0.9583999999999999,0.0348,0.0068000000000000005
0.9572999999999998,0.035699999999999996,0.006999999999999999
0.9566000000000001,0.0364,0.006999999999999999
0.9561,0.0369,0.006999999999999999
0.9551999999999998,0.0376,0.0072
0.954,0.0387,0.007299999999999999
0.9533000000000001,0.038900000000000004,0.007799999999999999
0.9527999999999999,0.039,0.008199999999999999
0.9522,0.039400000000000004,0.0084
0.9511,0.040100000000000004,0.008799999999999999
0.9498999999999999,0.041,0.0091
0.9488999999999999,0.04190000000000001,0.0092
0.9479,0.0426,0.0095
0.9469000000000001,0.0433,0.0098
0.9459,0.044,0.0101
0.945,0.0448,0.010199999999999999
0.9442000000000002,0.0455,0.0103
0.9434000000000001,0.0459,0.0107
0.9422,0.0469,0.010899999999999998
0.9414000000000001,0.047599999999999996,0.011
0.9404999999999999,0.047999999999999994,0.0115
0.9393,0.04909999999999999,0.0116
0.9380000000000001,0.049999999999999996,0.011999999999999999
0.9372,0.0503,0.012499999999999999
0.9359,0.051500000000000004,0.0126
0.9341000000000002,0.0529,0.012999999999999998
0.9324999999999999,0.05450000000000001,0.012999999999999998
0.9309999999999998,0.055700000000000006,0.013299999999999998
0.9295,0.05700000000000001,0.013499999999999998
0.9282,0.058100000000000006,0.013699999999999999
0.9269999999999999,0.059300000000000005,0.013699999999999999
0.9254,0.06040000000000001,0.0142
