S,I,R
0.9896,0.010199999999999997,0.0002
0.9890000000000001,0.010699999999999998,0.00030000000000000003
0.9888000000000001,0.010899999999999998,0.00030000000000000003
0.9883000000000001,0.011199999999999998,0.0005
0.9879,0.011599999999999997,0.0005
0.9873000000000001,0.011899999999999999,0.0008
0.9866000000000001,0.012499999999999999,0.0009000000000000001
0.9861000000000001,0.0129,0.001
0.9855,0.0134,0.0011
0.9853,0.013600000000000001,0.0011
0.985,0.0139,0.0011
0.9844999999999999,0.0142,0.0013000000000000002
0.9841999999999999,0.014500000000000002,0.0013000000000000002
0.9838000000000001,0.014900000000000002,0.0013000000000000002
0.9834999999999999,0.015100000000000002,0.0014000000000000002
0.9826,0.0159,0.0015
0.9819000000000001,0.0165,0.0016
0.9814,0.016999999999999998,0.0016
0.9808999999999999,0.0173,0.0018000000000000002
0.9798,0.018399999999999996,0.0018000000000000002
0.9791000000000001,0.018999999999999996,0.0019000000000000002
0.9783,0.019699999999999995,0.0020000000000000005
0.9776,0.020299999999999995,0.0021000000000000003
0.9766999999999999,0.021199999999999997,0.0021000000000000003
0.976,0.021899999999999996,0.0021000000000000003
0.9753999999999999,0.022199999999999998,0.0024000000000000007
0.9749000000000001,0.0226,0.0025
0.9739000000000001,0.023499999999999997,0.0026000000000000003
0.9728999999999999,0.024299999999999995,0.0028
0.9716999999999999,0.025500000000000002,0.0028
0.9700999999999999,0.027100000000000003,0.0028
0.9690999999999999,0.027800000000000002,0.0030999999999999995
0.968,0.0288,0.0032
0.9671,0.029699999999999997,0.0032
0.9664999999999999,0.03,0.0035000000000000005
0.9649000000000001,0.0312,0.0039000000000000007
0.9639000000000001,0.0319,0.004200000000000001
0.9629,0.032799999999999996,0.0043
0.9612999999999998,0.0341,0.0046
0.9595999999999998,0.0358,0.0046
0.958,0.0372,0.0048000000000000004
0.9564,0.0387,0.0049
0.9548,0.0402,0.005
0.9536,0.040900000000000006,0.0055
0.9515,0.0429,0.0056
0.9494999999999999,0.0448,0.0057
0.9479,0.046200000000000005,0.005900000000000001
0.9458,0.047900000000000005,0.0063
0.9445,0.0489,0.0066
0.9422,0.05109999999999999,0.0067
0.9391999999999999,0.05369999999999999,0.0071
0.9373000000000001,0.055299999999999995,0.0073999999999999995
0.9347999999999999,0.05739999999999999,0.0078
0.9327,0.058899999999999994,0.0084
0.9305,0.0607,0.008799999999999999
0.9273,0.06289999999999998,0.0098
0.9251000000000001,0.0648,0.0101
0.9226000000000003,0.06709999999999999,0.0103
0.9208000000000002,0.0687,0.010499999999999999
0.9178000000000001,0.0711,0.011099999999999999
0.9153,0.0733,0.011399999999999999
0.9118999999999999,0.0764,0.011699999999999999
0.9086000000000001,0.0795,0.011899999999999999
0.9054,0.0823,0.0123
0.9019999999999999,0.0852,0.0128
0.8996000000000002,0.0873,0.0131
0.8958,0.091,0.0132
0.8920999999999999,0.094,0.013900000000000001
0.8876999999999999,0.0979,0.014400000000000001
0.8839,0.101,0.015100000000000002
0.8800000000000001,0.10390000000000002,0.016100000000000003
0.8766,0.1065,0.016900000000000005
0.8724000000000001,0.11030000000000002,0.0173
0.8682000000000001,0.1142,0.017599999999999998
0.8642,0.11750000000000001,0.018299999999999997
0.8611000000000001,0.1202,0.018699999999999998
0.8576,0.12329999999999999,0.0191
0.8542,0.12589999999999998,0.019899999999999998
0.8498000000000001,0.1295,0.020699999999999996
0.8452,0.1335,0.021299999999999996
0.8405999999999999,0.1373,0.022099999999999998
0.8352,0.14179999999999998,0.023
