S,I,R
0.9898000000000001,0.010199999999999997,0.0
0.9895000000000002,0.010499999999999999,0.0
0.9891,0.010899999999999998,0.0
0.9882,0.0118,0.0
0.9876999999999999,0.012,0.00030000000000000003
0.9873000000000001,0.0123,0.0004
0.9863,0.013299999999999998,0.0004
0.9856999999999999,0.013900000000000001,0.0004
0.9856,0.013999999999999999,0.0004
0.9849,0.0144,0.0007
0.9845,0.014600000000000002,0.0009000000000000001
0.9837,0.015299999999999998,0.0010000000000000002
0.9832000000000001,0.015600000000000003,0.0012000000000000001
0.9826,0.016200000000000003,0.0012000000000000001
0.9818,0.016599999999999997,0.0016
0.9812000000000001,0.0172,0.0016
0.9803999999999998,0.018,0.0016
0.9795999999999999,0.018699999999999998,0.0017000000000000001
0.9787999999999999,0.019399999999999997,0.0018000000000000002
0.978,0.019999999999999997,0.0020000000000000005
0.9773000000000002,0.020499999999999997,0.0022
0.9765999999999998,0.0211,0.0023
0.9758999999999999,0.0218,0.0023
0.9751,0.0225,0.0024000000000000002
0.9745000000000001,0.023100000000000002,0.0024000000000000002
0.9737,0.0238,0.0025
0.9728999999999999,0.024300000000000002,0.0028
0.9717999999999998,0.0253,0.0029000000000000002
0.9709,0.026000000000000002,0.0031000000000000003
0.9695,0.027200000000000002,0.0033
0.9683999999999999,0.028200000000000003,0.0034000000000000002
0.9672000000000001,0.0294,0.0034000000000000002
0.9661,0.0304,0.0035000000000000005
0.9647,0.0316,0.0037000000000000006
0.9640000000000001,0.0318,0.004200000000000001
0.9621000000000001,0.033600000000000005,0.0043
0.9612999999999999,0.0344,0.0043
0.9594999999999999,0.03610000000000001,0.004399999999999999
0.9584000000000001,0.037000000000000005,0.0046
0.9574,0.037700000000000004,0.0049
0.9556999999999999,0.0392,0.0051
0.9545999999999999,0.0399,0.0055
0.9529,0.041299999999999996,0.0058
0.9510000000000002,0.0428,0.0062
0.9493,0.0445,0.0062
0.9465999999999999,0.0469,0.006500000000000001
0.9439,0.049199999999999994,0.006900000000000001
0.942,0.05069999999999999,0.007299999999999999
0.9394,0.05269999999999999,0.0079
0.9369999999999999,0.054799999999999995,0.008199999999999999
0.9358000000000001,0.05569999999999999,0.008499999999999999
0.9338999999999998,0.057499999999999996,0.008599999999999998
0.932,0.059,0.008999999999999998
0.9305,0.0601,0.009399999999999999
0.9278999999999998,0.0627,0.009399999999999999
0.9254,0.06470000000000001,0.009899999999999999
0.9230000000000003,0.06670000000000001,0.0103
0.9198999999999999,0.0693,0.0108
0.9170000000000001,0.0718,0.0112
0.9155000000000001,0.07310000000000001,0.0114
0.9134,0.0751,0.0115
0.9103,0.07790000000000001,0.011800000000000001
0.9087999999999999,0.07910000000000002,0.012100000000000001
0.9061,0.08159999999999999,0.0123
0.9036000000000002,0.0836,0.0128
0.8995999999999998,0.0869,0.013500000000000002
0.8975,0.0885,0.014000000000000002
0.8943999999999999,0.09109999999999999,0.014499999999999999
0.8911,0.094,0.0149
0.8888,0.09559999999999999,0.015599999999999998
0.8847999999999999,0.09889999999999999,0.0163
0.8812000000000001,0.10239999999999998,0.016399999999999998
0.8761000000000001,0.1069,0.016999999999999998
0.8729000000000001,0.10959999999999999,0.017499999999999998
0.8682000000000001,0.1135,0.0183
0.8643000000000001,0.11699999999999999,0.0187
0.8608,0.1192,0.02
0.8564,0.12260000000000001,0.020999999999999998
0.852,0.12610000000000002,0.0219
0.8478,0.12979999999999997,0.022399999999999996
0.843,0.134,0.023
0.8389,0.1373,0.023799999999999998
0.8337,0.1417,0.0246
0.8286,0.1453,0.0261
0.8247,0.1484,0.0269
0.8196999999999999,0.1525,0.0278
0.8138000000000002,0.1578,0.028399999999999998
0.8077,0.1627,0.029599999999999998
0.8023999999999999,0.1673,0.0303
0.7978000000000001,0.1713,0.0309
0.7932,0.1746,0.0322
0.7868999999999999,0.18000000000000002,0.033100000000000004
0.7807999999999999,0.1851,0.034100000000000005
0.7748,0.1895,0.0357
0.7689999999999999,0.1944,0.03660000000000001
0.7632999999999999,0.199,0.037700000000000004
0.7571,0.20380000000000004,0.0391
0.7503,0.2098,0.039900000000000005
0.7443,0.2145,0.0412
0.7369,0.22069999999999998,0.0424
0.7298,0.2262,0.044
0.7232999999999999,0.23129999999999998,0.045399999999999996
0.7167,0.23669999999999997,0.046599999999999996
0.7095,0.2424,0.0481
0.7026999999999999,0.2472,0.0501
0.6956,0.2531,0.0513
0.6882,0.25930000000000003,0.052500000000000005
0.6815,0.2646,0.05389999999999999
0.6745,0.26940000000000003,0.0561
