S,I,R
0.9884999999999998,0.011399999999999997,0.0001
0.9869,0.0129,0.0002
0.9847000000000001,0.014700000000000001,0.0006000000000000001
0.983,0.0161,0.0009000000000000001
0.9808,0.0183,0.0009000000000000001
0.9782,0.0208,0.0010000000000000002
0.9757000000000001,0.0232,0.0010999999999999998
0.9715999999999999,0.027200000000000002,0.0012000000000000001
0.9671,0.03150000000000001,0.0014000000000000002
0.9616999999999999,0.03649999999999999,0.0018000000000000002
0.9568999999999999,0.0411,0.0020000000000000005
0.9511000000000001,0.046799999999999994,0.0021000000000000003
0.9446000000000001,0.053000000000000005,0.0024000000000000002
0.9366000000000001,0.0607,0.0027
0.9287000000000001,0.06829999999999999,0.003
0.9193999999999999,0.0771,0.0035000000000000005
0.9075999999999999,0.08839999999999999,0.004
0.8950000000000001,0.1006,0.0044
0.8794000000000001,0.1156,0.005
0.8625,0.1319,0.005599999999999999
0.843,0.1508,0.006200000000000001
0.8207000000000001,0.1724,0.006900000000000001
0.8004,0.1912,0.008400000000000001
0.7766,0.21389999999999998,0.009499999999999998
0.7494,0.23970000000000002,0.0109
0.7241000000000002,0.2638,0.0121
0.6959,0.291,0.0131
0.6651,0.32080000000000003,0.014100000000000001
0.6336,0.35029999999999994,0.0161
0.6001000000000001,0.38130000000000003,0.018600000000000002
0.5683,0.4109,0.0208
0.5321,0.4449000000000001,0.023
0.49399999999999994,0.48030000000000006,0.0257
0.4574,0.5136,0.029000000000000005
0.42359999999999987,0.5444,0.032
0.39099999999999996,0.5731,0.0359
0.3554,0.6041000000000001,0.040499999999999994
0.32449999999999996,0.6303,0.04519999999999999
0.2909,0.6593,0.0498
0.26139999999999997,0.6839999999999999,0.0546
0.23489999999999997,0.7060000000000001,0.05910000000000001
0.2089,0.7275,0.06360000000000002
0.18560000000000001,0.7474000000000001,0.06699999999999999
0.1672,0.7618000000000001,0.071
0.1477,0.7756000000000001,0.07669999999999998
0.1315,0.7858,0.08269999999999998
0.11639999999999999,0.7966,0.08699999999999998
0.10229999999999999,0.8054,0.09229999999999998
0.0897,0.8122,0.09809999999999999
0.0786,0.8182,0.1032
0.0684,0.8230999999999999,0.1085
0.06050000000000001,0.8263999999999999,0.1131
0.0524,0.8288999999999997,0.11869999999999999
0.045200000000000004,0.8314,0.1234
0.0388,0.8327,0.1285
0.0343,0.8325000000000001,0.1332
0.029400000000000003,0.8329000000000001,0.1377
0.0261,0.8324,0.14150000000000001
0.023,0.8305,0.1465
0.0195,0.8297000000000001,0.1508
0.016999999999999998,0.827,0.15599999999999997
0.0152,0.8243,0.16049999999999998
0.013600000000000001,0.821,0.16540000000000002
0.012199999999999999,0.8179000000000001,0.1699
0.010700000000000001,0.8136000000000001,0.17570000000000002
0.009600000000000001,0.8089999999999999,0.18139999999999998
0.008500000000000002,0.8053999999999999,0.1861
0.008000000000000002,0.8009999999999999,0.19099999999999998
0.007200000000000002,0.798,0.19480000000000003
0.0065000000000000014,0.7929000000000002,0.20060000000000003
0.0054,0.7889999999999999,0.2056
0.005000000000000001,0.783,0.21199999999999997
0.0045000000000000005,0.7788,0.21669999999999998
0.0042,0.7746999999999999,0.22110000000000002
0.0033,0.7712,0.22550000000000003
0.0029000000000000002,0.7673000000000001,0.2298
0.0028,0.7636000000000001,0.23360000000000003
0.0024999999999999996,0.7590999999999999,0.23840000000000003
0.0024000000000000002,0.754,0.24360000000000004
0.0021000000000000003,0.7491,0.2488
0.002,0.745,0.253
0.0018000000000000002,0.7398999999999999,0.25830000000000003
0.0016,0.7351,0.2633
0.0015,0.7313,0.2672
0.0013999999999999998,0.7276,0.271
0.0013999999999999998,0.7232000000000001,0.2754
0.0013000000000000002,0.7186999999999999,0.28
0.0012000000000000001,0.7140000000000001,0.2848
0.0010999999999999998,0.7094999999999999,0.2894
0.001,0.7051999999999999,0.2938
0.0009000000000000001,0.7013,0.29779999999999995
0.0009000000000000001,0.6984,0.3007
0.0009000000000000001,0.6933,0.30579999999999996
0.0008,0.6887,0.3105
0.0007,0.6842,0.3151
0.0005,0.6797,0.3198
0.00030000000000000003,0.6748999999999999,0.32480000000000003
0.00030000000000000003,0.6693,0.33039999999999997
0.00030000000000000003,0.6645000000000001,0.3352
0.0002,0.6592000000000001,0.34059999999999996
0.0002,0.6551,0.34470000000000006
0.0002,0.65,0.3498
0.0002,0.6461,0.3537
0.0002,0.6423,0.35750000000000004
0.0002,0.6392,0.3606000000000001
0.0002,0.634,0.3658
0.0002,0.6305000000000001,0.36929999999999996
0.0002,0.626,0.3738
0.0002,0.6228000000000001,0.377
0.0002,0.6197999999999999,0.37999999999999995
0.0002,0.6161000000000001,0.38370000000000004
0.0002,0.6121,0.38770000000000004
0.0002,0.608,0.39180000000000004
0.0002,0.6051,0.3947
0.0002,0.6019,0.3979000000000001
0.0001,0.5978,0.4021
0.0001,0.5946,0.4053
0.0001,0.5905,0.40940000000000004
0.0001,0.587,0.41289999999999993
0.0001,0.5828000000000001,0.4171
0.0001,0.5799,0.42000000000000004
0.0001,0.5763999999999999,0.42350000000000004
0.0001,0.5730000000000001,0.4269
0.0001,0.5696000000000001,0.4303
0.0001,0.5668,0.43310000000000004
0.0001,0.5626999999999999,0.4372
0.0001,0.5589999999999999,0.44089999999999996
0.0001,0.5553999999999999,0.4445
0.0001,0.5527999999999998,0.4471
0.0001,0.549,0.4509
0.0001,0.5458000000000001,0.45409999999999995
0.0001,0.5425,0.4574
0.0001,0.5394000000000001,0.46049999999999996
0.0001,0.5365,0.46340000000000003
0.0001,0.5329,0.46699999999999997
0.0001,0.5307999999999999,0.46909999999999996
0.0001,0.5272,0.4727
0.0001,0.5239,0.476
0.0001,0.5212,0.4787
0.0001,0.5181,0.48179999999999995
0.0001,0.5157,0.4842000000000001
0.0001,0.5123,0.48760000000000003
0.0001,0.5092000000000001,0.4906999999999999
0.0001,0.5064,0.49349999999999994
0.0001,0.5041,0.4958
0.0001,0.5005,0.49940000000000007
0.0001,0.4967999999999999,0.5031
0.0,0.4941000000000001,0.5058999999999999
0.0,0.4904,0.5096
0.0,0.48819999999999986,0.5117999999999999
0.0,0.48529999999999995,0.5147000000000002
0.0,0.48230000000000006,0.5176999999999999
0.0,0.4789,0.5211
0.0,0.4758,0.5242
0.0,0.47379999999999994,0.5262
0.0,0.4715000000000001,0.5285
0.0,0.4697,0.5303
0.0,0.4673,0.5327
0.0,0.4641,0.5359
0.0,0.4612,0.5388000000000001
0.0,0.4593999999999999,0.5406
0.0,0.457,0.5429999999999999
0.0,0.4547,0.5453
