S,I,R
0.99,0.009999999999999998,0.0
0.9898,0.010199999999999999,0.0
0.9894999999999999,0.010499999999999997,0.0
0.9893000000000001,0.010699999999999998,0.0
0.9892,0.010699999999999998,0.0001
0.9892,0.010599999999999997,0.0002
0.9889999999999999,0.010599999999999997,0.0004
0.9889999999999999,0.010399999999999998,0.0006000000000000001
0.9889999999999999,0.010399999999999998,0.0006000000000000001
0.9887,0.010599999999999998,0.0007
0.9887,0.010599999999999998,0.0007
0.9887,0.010599999999999998,0.0007
0.9884000000000001,0.010799999999999999,0.0008
0.9883,0.010899999999999998,0.0008
0.9880000000000001,0.011199999999999998,0.0008
0.9878,0.011399999999999997,0.0008
0.9877,0.011299999999999998,0.0010000000000000002
0.9876000000000001,0.011399999999999997,0.0010000000000000002
0.9876000000000001,0.011299999999999998,0.0011000000000000003
0.9876000000000001,0.011199999999999998,0.0012000000000000003
0.9876000000000001,0.011099999999999997,0.0013000000000000004
0.9876000000000001,0.011099999999999997,0.0013000000000000004
0.9875,0.011099999999999997,0.0014000000000000002
0.9875,0.010899999999999998,0.0016000000000000003
0.9875,0.010699999999999998,0.0018000000000000002
0.9872,0.011,0.0018000000000000002
0.9871000000000001,0.011099999999999999,0.0018000000000000002
0.9871000000000001,0.011099999999999999,0.0018000000000000002
0.9869,0.011199999999999998,0.0019000000000000002
0.9869,0.011099999999999999,0.0020000000000000005
0.9869,0.011,0.0021
0.9865999999999999,0.0113,0.0021
0.9865,0.011199999999999998,0.0023
0.9862,0.0115,0.0023
0.9862,0.0115,0.0023
0.9860999999999999,0.0116,0.0023
0.9859,0.011699999999999999,0.0024000000000000002
0.9857999999999999,0.011699999999999999,0.0025
0.9857999999999999,0.0116,0.0026000000000000003
0.9856,0.0118,0.0026000000000000003
0.9855,0.0118,0.0026999999999999997
0.9855,0.011699999999999999,0.0027999999999999995
0.9853999999999999,0.0118,0.0027999999999999995
0.9850000000000001,0.012199999999999999,0.0027999999999999995
0.9849,0.0123,0.0027999999999999995
0.9848000000000001,0.0124,0.0027999999999999995
0.9847000000000001,0.0124,0.0029
0.9845,0.0125,0.003
0.9841,0.0129,0.003
0.9841,0.0127,0.0032
0.9841,0.0125,0.0034000000000000002
0.984,0.0125,0.0035000000000000005
0.9839,0.0125,0.0036000000000000003
0.9837999999999999,0.0126,0.0036000000000000003
0.9837,0.0127,0.0036000000000000003
0.9837,0.0127,0.0036000000000000003
0.9836,0.0127,0.0037000000000000006
0.9836,0.0126,0.0038
0.9836,0.0124,0.004
0.9836,0.0121,0.0043
0.9835,0.012199999999999999,0.0043
0.9835,0.012199999999999999,0.0043
0.9833000000000001,0.0124,0.0043
0.9833000000000001,0.0121,0.004600000000000001
0.9833000000000001,0.0121,0.004600000000000001
0.9832000000000001,0.012199999999999999,0.004600000000000001
0.9832000000000001,0.0121,0.004700000000000001
0.9831,0.0121,0.0048000000000000004
0.9828999999999999,0.012199999999999999,0.004900000000000001
0.9827999999999999,0.012199999999999999,0.005000000000000001
0.9827999999999999,0.012199999999999999,0.005000000000000001
0.9827,0.0122,0.005100000000000001
0.9825999999999999,0.012300000000000002,0.005100000000000001
0.9823999999999999,0.0125,0.005100000000000001
0.9822999999999998,0.0125,0.0052000000000000015
0.9822,0.0125,0.005300000000000001
0.9821,0.0125,0.005400000000000001
0.9821,0.0124,0.0055
0.9818,0.0127,0.0055
0.9818,0.0126,0.0056
0.9816999999999998,0.0127,0.0056
0.9814999999999999,0.0128,0.0057
0.9814999999999999,0.0128,0.0057
0.9812999999999998,0.013000000000000001,0.0057
0.9812,0.013000000000000001,0.0058000000000000005
0.9811,0.013000000000000001,0.005900000000000001
0.9806000000000001,0.013300000000000001,0.0061
0.9806000000000001,0.0132,0.006200000000000001
0.9806000000000001,0.0132,0.006200000000000001
0.9805000000000001,0.013300000000000001,0.006200000000000001
0.9804,0.0134,0.006200000000000001
0.9804,0.0134,0.006200000000000001
0.9803000000000001,0.0134,0.0063
0.9802000000000002,0.013500000000000002,0.0063
0.9802000000000002,0.013500000000000002,0.0063
0.9798,0.013900000000000001,0.0063
0.9797,0.0137,0.0066
0.9797,0.013600000000000001,0.0067
0.9796000000000001,0.013600000000000001,0.0068000000000000005
0.9794,0.013800000000000002,0.0068000000000000005
0.9792,0.014000000000000002,0.0068000000000000005
0.9789999999999999,0.014199999999999999,0.0068000000000000005
0.9789,0.014299999999999998,0.0068000000000000005
0.9786999999999999,0.014400000000000001,0.006900000000000001
0.9785999999999999,0.014300000000000002,0.0071
0.9785999999999999,0.014300000000000002,0.0071
0.9785999999999999,0.014300000000000002,0.0071
0.9783,0.014599999999999998,0.0071
0.9782,0.0147,0.0071
0.9781000000000001,0.014599999999999998,0.007300000000000001
0.9779,0.014799999999999999,0.007300000000000001
0.9779,0.0147,0.0073999999999999995
0.9777000000000001,0.0147,0.0076
0.9776,0.0147,0.0077
0.9775,0.014799999999999999,0.0077
0.9772000000000002,0.015,0.0078
0.9771000000000001,0.015,0.0079
0.9770000000000001,0.015,0.008
0.9768000000000001,0.0152,0.008
0.9766,0.0152,0.0082
0.9766,0.0152,0.0082
0.9763,0.0152,0.008499999999999999
0.9758000000000001,0.0155,0.0087
0.9757,0.0156,0.0087
0.9755,0.0156,0.0089
0.9753000000000001,0.0158,0.0089
0.9751999999999998,0.0159,0.0089
0.9751999999999998,0.0158,0.009
0.9751999999999998,0.0156,0.0092
0.9751999999999998,0.0156,0.0092
0.975,0.0155,0.0095
0.9747,0.0158,0.0095
0.9742999999999998,0.0161,0.009600000000000001
0.9742,0.0162,0.009600000000000001
0.9740999999999997,0.016300000000000002,0.009600000000000001
0.9738,0.0164,0.0098
0.9738,0.0164,0.0098
0.9736999999999998,0.0164,0.0099
0.9734999999999998,0.0165,0.01
0.9733999999999998,0.0164,0.0102
0.9731,0.0166,0.0103
0.9728999999999999,0.016800000000000002,0.0103
0.9728,0.0166,0.010600000000000002
0.9726999999999999,0.0166,0.010700000000000001
0.9726999999999999,0.016300000000000002,0.011
0.9724,0.0166,0.011
0.9724,0.0164,0.0112
0.9724,0.0164,0.0112
0.9719999999999999,0.0167,0.011300000000000001
0.9717999999999998,0.0167,0.0115
0.9715999999999999,0.016800000000000002,0.0116
0.9715999999999999,0.016800000000000002,0.0116
0.9715,0.016900000000000002,0.0116
0.9712,0.0172,0.0116
0.9708,0.0174,0.0118
0.9705,0.017499999999999998,0.012
0.9702999999999999,0.0174,0.0123
0.97,0.017499999999999995,0.0125
0.9699,0.017499999999999995,0.0126
0.9697000000000001,0.017699999999999997,0.0126
0.9693999999999999,0.017799999999999996,0.0128
0.9692999999999999,0.017799999999999996,0.0129
0.9692000000000001,0.017799999999999996,0.013000000000000001
0.9691000000000001,0.017699999999999997,0.0132
0.969,0.017799999999999996,0.0132
0.9689,0.017799999999999996,0.013300000000000001
0.9689,0.017699999999999997,0.0134
0.9688000000000001,0.017799999999999996,0.0134
0.9688000000000001,0.017799999999999996,0.0134
