S,I,R
0.9894000000000002,0.010499999999999999,0.0001
0.9893000000000001,0.010499999999999999,0.0002
0.9892,0.010499999999999999,0.00030000000000000003
0.9890000000000001,0.010699999999999998,0.00030000000000000003
0.9889000000000001,0.010699999999999998,0.0004
0.9888000000000001,0.010799999999999999,0.0004
0.9883999999999998,0.011199999999999998,0.0004
0.9880000000000001,0.0115,0.0005
0.9875999999999999,0.011899999999999999,0.0005
0.9875999999999999,0.011899999999999999,0.0005
0.9875,0.011899999999999999,0.0006000000000000001
0.9875,0.011899999999999999,0.0006000000000000001
0.9873000000000001,0.012,0.0007
0.9872,0.012,0.0008
0.9868999999999998,0.012199999999999999,0.0009000000000000001
0.9865999999999999,0.0123,0.0011
0.9865,0.0124,0.0011
0.9861000000000001,0.0128,0.0011
0.9859,0.0128,0.0013
0.9857000000000001,0.013000000000000001,0.0013
0.9857000000000001,0.0129,0.0014
0.9855,0.0131,0.0014
0.9853,0.013000000000000001,0.0017000000000000001
0.9852000000000001,0.0131,0.0017000000000000001
0.9846999999999999,0.013600000000000001,0.0017000000000000001
0.9841,0.014100000000000001,0.0018000000000000002
0.9837,0.014500000000000002,0.0018000000000000002
0.9833999999999999,0.014599999999999998,0.0020000000000000005
0.9829999999999999,0.014999999999999996,0.0020000000000000005
0.9825999999999999,0.015299999999999998,0.0021000000000000003
0.9823999999999999,0.015499999999999996,0.0021000000000000003
0.9822,0.0157,0.0021000000000000003
0.9818,0.015999999999999997,0.0022
0.9815000000000002,0.0162,0.0023
0.9811000000000002,0.016499999999999997,0.0024000000000000002
0.9809000000000001,0.016499999999999997,0.0026000000000000003
0.9806000000000001,0.0167,0.0027
0.9803000000000001,0.0169,0.0028
0.9799,0.0173,0.0028
0.9795999999999999,0.0172,0.0032000000000000006
0.9793,0.0174,0.0033
0.9788,0.0177,0.0035000000000000005
0.9783999999999999,0.018,0.0036000000000000003
0.9782,0.018,0.0038000000000000004
0.9779,0.018099999999999998,0.004
0.9776,0.018099999999999998,0.0043
0.9771000000000001,0.0185,0.0044
0.9768000000000001,0.0187,0.0045000000000000005
0.9763000000000002,0.0191,0.004600000000000001
0.9762000000000001,0.0191,0.0047
0.9761,0.0191,0.0048000000000000004
0.9757999999999999,0.019,0.0052
0.9753000000000001,0.0193,0.0054
0.9744999999999999,0.02,0.0055
0.9743999999999999,0.0198,0.0058
0.9742,0.0199,0.0059
0.9737,0.020200000000000003,0.0060999999999999995
0.9733999999999998,0.0205,0.0060999999999999995
0.9731,0.0206,0.0063
0.9727,0.021,0.0063
0.9723999999999998,0.021300000000000003,0.0063
0.9721,0.021500000000000002,0.0064
0.9719999999999999,0.021400000000000002,0.0066
0.9713999999999998,0.0216,0.006999999999999999
0.9705999999999999,0.022300000000000004,0.0070999999999999995
0.9702,0.022700000000000005,0.0070999999999999995
0.9698,0.023100000000000002,0.0070999999999999995
0.9693000000000002,0.0235,0.0072
0.9686999999999999,0.0239,0.0073999999999999995
0.9681000000000001,0.024299999999999995,0.0076
0.9677,0.024399999999999998,0.0079
0.9674999999999999,0.0245,0.008
0.9671,0.024800000000000003,0.0081
0.9667,0.0249,0.008400000000000001
0.9665999999999999,0.0249,0.0085
0.9658999999999999,0.0256,0.0085
0.9654,0.0261,0.0085
0.9651,0.0263,0.0086
0.9648000000000001,0.026500000000000003,0.008700000000000001
0.9644999999999999,0.026600000000000002,0.008900000000000002
0.9642,0.0268,0.008999999999999998
0.9635,0.027500000000000004,0.008999999999999998
0.9632000000000002,0.027600000000000003,0.009199999999999998
0.9626999999999999,0.028000000000000004,0.0093
0.9617000000000001,0.028900000000000002,0.009399999999999999
0.9611999999999998,0.029200000000000004,0.0096
0.9603999999999999,0.030000000000000006,0.0096
0.96,0.029900000000000003,0.010099999999999996
0.9597000000000001,0.029500000000000005,0.010799999999999997
0.9593,0.029800000000000004,0.010899999999999996
0.9582,0.030900000000000004,0.010899999999999996
0.9578,0.031200000000000006,0.010999999999999998
0.9571999999999999,0.0316,0.011199999999999998
0.9568,0.031900000000000005,0.011299999999999998
0.9564999999999999,0.03200000000000001,0.011499999999999998
0.9561999999999999,0.031700000000000006,0.012099999999999998
0.9557,0.031900000000000005,0.012399999999999998
0.9551999999999999,0.032400000000000005,0.012399999999999998
0.9547000000000001,0.032900000000000006,0.012399999999999998
0.9538999999999997,0.0336,0.012499999999999999
0.9534999999999998,0.033999999999999996,0.012499999999999999
0.9526999999999999,0.034699999999999995,0.0126
0.9519,0.0354,0.0127
0.9512999999999998,0.0359,0.0128
