# t, S, E, I, R
0,7000,3000,0,0
0.1,6998,2856,142.7,3.627
0.2,6991,2723,271.7,14.04
0.3,6980,2602,388.2,30.59
0.4,6964,2490,493.3,52.67
0.5,6946,2386,588.1,79.74
0.6,6924,2291,673.4,111.3
0.7,6900,2203,750,146.9
0.8,6873,2122,818.8,186.1
0.9,6844,2047,880.4,228.6
1,6814,1977,935.4,274
1.1,6781,1912,984.5,322
1.2,6748,1852,1028,372.3
1.3,6713,1796,1067,424.6
1.4,6677,1743,1101,478.8
1.5,6640,1694,1131,534.5
1.6,6602,1648,1157,591.6
1.7,6564,1605,1180,650
1.8,6526,1565,1200,709.5
1.9,6487,1527,1216,769.9
2,6448,1491,1230,831
2.1,6408,1457,1242,892.8
2.2,6369,1425,1252,955.1
2.3,6329,1394,1259,1018
2.4,6290,1364,1265,1081
2.5,6250,1336,1269,1144
2.6,6211,1310,1272,1207
2.7,6172,1284,1273,1271
2.8,6133,1260,1273,1334
2.9,6095,1236,1271,1398
3,6057,1213,1269,1461
3.1,6019,1191,1265,1524
3.2,5981,1170,1261,1588
3.3,5944,1150,1256,1650
3.4,5907,1130,1250,1713
3.5,5871,1110,1244,1775
3.6,5835,1091,1237,1837
3.7,5800,1073,1229,1898
3.8,5765,1055,1221,1959
3.9,5730,1038,1212,2020
4,5696,1020,1203,2080
4.1,5663,1004,1194,2140
4.2,5630,987.5,1184,2199
4.3,5597,971.5,1174,2258
4.4,5565,955.9,1163,2316
4.5,5533,940.6,1153,2374
4.6,5502,925.6,1142,2431
4.7,5471,910.8,1131,2487
4.8,5441,896.3,1120,2543
4.9,5411,881.9,1108,2599
5,5382,867.8,1097,2654
5.1,5353,853.9,1085,2708
5.2,5325,840.2,1074,2762
5.3,5297,826.8,1062,2815
5.4,5269,813.5,1050,2867
5.5,5242,800.5,1038,2919
5.6,5216,787.7,1026,2970
5.7,5190,775.1,1014,3021
5.8,5164,762.7,1002,3071
5.9,5139,750.4,989.8,3121
6,5114,738.4,977.7,3170
6.1,5090,726.5,965.6,3218
6.2,5066,714.9,953.5,3266
6.3,5043,703.3,941.4,3313
6.4,5020,692,929.3,3359
6.5,4997,680.7,917.3,3405
6.6,4975,669.6,905.4,3450
6.7,4953,658.7,893.6,3495
6.8,4932,647.8,881.8,3539
6.9,4911,637.2,870.1,3582
7,4890,626.7,858.5,3625
7.1,4870,616.3,846.9,3667
7.2,4850,606.1,835.3,3709
7.3,4830,596,823.9,3750
7.4,4811,586.1,812.5,3790
7.5,4792,576.3,801.1,3830
7.6,4774,566.7,789.9,3870
7.7,4755,557.2,778.7,3909
7.8,4738,547.9,767.6,3947
7.9,4720,538.7,756.5,3985
8,4703,529.7,745.6,4022
8.1,4686,520.8,734.7,4058
8.2,4670,512,723.9,4095
8.3,4653,503.4,713.2,4130
8.4,4637,494.9,702.6,4165
8.5,4622,486.5,692.2,4200
8.6,4606,478.2,681.8,4234
8.7,4591,470,671.6,4267
8.8,4577,461.9,661.5,4300
8.9,4562,454,651.5,4332
9,4548,446.1,641.7,4364
9.1,4534,438.4,631.9,4396
9.2,4521,430.8,622.3,4426
9.3,4507,423.3,612.8,4457
9.4,4494,415.9,603.3,4487
9.5,4481,408.7,594,4516
9.6,4469,401.5,584.8,4545
9.7,4456,394.5,575.6,4574
9.8,4444,387.6,566.6,4602
9.9,4432,380.8,557.7,4629
10,4420,374.1,548.8,4657
10.1,4409,367.6,540.1,4683
10.2,4398,361.1,531.5,4710
10.3,4387,354.8,522.9,4736
10.4,4376,348.6,514.5,4761
10.5,4365,342.4,506.1,4786
10.6,4355,336.4,497.9,4811
10.7,4345,330.5,489.8,4835
10.8,4335,324.7,481.7,4859
10.9,4325,318.9,473.8,4882
11,4315,313.3,466,4905
11.1,4306,307.7,458.3,4928
11.2,4297,302.3,450.8,4950
11.3,4288,296.9,443.3,4972
11.4,4279,291.5,436,4994
11.5,4270,286.3,428.8,5015
11.6,4262,281.1,421.7,5035
11.7,4253,276,414.7,5056
11.8,4245,271.1,407.9,5076
11.9,4237,266.1,401.1,5096
