# t, S, E, I, R
0,9000,1000,0,0
0.1,9000,998.9,0.999,0.0003997
0.2,9000,997.8,1.996,0.001598
0.3,9000,996.7,2.991,0.003592
0.4,9000,995.7,3.984,0.006382
0.5,9000,994.6,4.975,0.009965
0.6,9000,993.6,5.964,0.01434
0.7,9000,992.5,6.952,0.0195
0.8,9001,991.5,7.937,0.02546
0.9,9001,990.5,8.92,0.0322
1,9001,989.5,9.902,0.03972
1.1,9001,988.5,10.88,0.04803
1.2,9001,987.5,11.86,0.05712
1.3,9001,986.6,12.84,0.067
1.4,9001,985.6,13.81,0.07765
1.5,9000,984.6,14.78,0.08908
1.6,9000,983.7,15.75,0.1013
1.7,9000,982.8,16.72,0.1143
1.8,9000,981.8,17.69,0.128
1.9,9000,980.9,18.65,0.1425
2,9000,980,19.62,0.1578
2.1,9000,979.1,20.58,0.1739
2.2,9000,978.2,21.54,0.1907
2.3,9000,977.3,22.49,0.2083
2.4,9000,976.5,23.45,0.2267
2.5,9000,975.6,24.41,0.2458
2.6,9000,974.8,25.36,0.2656
2.7,8999,973.9,26.31,0.2863
2.8,8999,973.1,27.26,0.3077
2.9,8999,972.3,28.21,0.3298
3,8999,971.5,29.15,0.3527
3.1,8999,970.7,30.1,0.3764
3.2,8999,969.9,31.04,0.4008
3.3,8999,969.1,31.98,0.426
3.4,8998,968.3,32.92,0.4519
3.5,8998,967.6,33.86,0.4786
3.6,8998,966.8,34.79,0.506
3.7,8998,966.1,35.73,0.5341
3.8,8997,965.3,36.66,0.563
3.9,8997,964.6,37.59,0.5927
4,8997,963.9,38.52,0.623
4.1,8997,963.2,39.45,0.6542
4.2,8996,962.5,40.38,0.686
4.3,8996,961.8,41.3,0.7186
4.4,8996,961.1,42.23,0.752
4.5,8996,960.4,43.15,0.786
4.6,8995,959.8,44.07,0.8209
4.7,8995,959.1,44.99,0.8564
4.8,8995,958.5,45.91,0.8927
4.9,8994,957.8,46.83,0.9297
5,8994,957.2,47.74,0.9674
5.1,8994,956.6,48.65,1.006
5.2,8993,956,49.57,1.045
5.3,8993,955.4,50.48,1.085
5.4,8993,954.8,51.39,1.126
5.5,8992,954.2,52.29,1.167
5.6,8992,953.6,53.2,1.209
5.7,8992,953,54.11,1.252
5.8,8991,952.5,55.01,1.295
5.9,8991,951.9,55.91,1.34
6,8990,951.4,56.81,1.385
6.1,8990,950.9,57.71,1.43
6.2,8990,950.3,58.61,1.477
6.3,8989,949.8,59.51,1.524
6.4,8989,949.3,60.4,1.572
6.5,8988,948.8,61.3,1.62
6.6,8988,948.3,62.19,1.669
6.7,8987,947.9,63.08,1.719
6.8,8987,947.4,63.97,1.77
6.9,8986,946.9,64.86,1.821
7,8986,946.5,65.75,1.873
7.1,8985,946,66.64,1.926
7.2,8985,945.6,67.52,1.979
7.3,8984,945.1,68.41,2.034
7.4,8984,944.7,69.29,2.089
7.5,8983,944.3,70.17,2.144
7.6,8983,943.9,71.05,2.2
7.7,8982,943.5,71.93,2.257
7.8,8982,943.1,72.81,2.315
7.9,8981,942.7,73.68,2.373
8,8981,942.4,74.56,2.432
8.1,8980,942,75.44,2.492
8.2,8979,941.7,76.31,2.553
8.3,8979,941.3,77.18,2.614
8.4,8978,941,78.05,2.676
8.5,8978,940.6,78.92,2.738
8.6,8977,940.3,79.79,2.801
8.7,8976,940,80.66,2.865
8.8,8976,939.7,81.53,2.93
8.9,8975,939.4,82.39,2.995
9,8975,939.1,83.26,3.061
9.1,8974,938.8,84.12,3.128
9.2,8973,938.6,84.98,3.195
9.3,8973,938.3,85.85,3.263
9.4,8972,938,86.71,3.332
9.5,8971,937.8,87.57,3.401
9.6,8971,937.5,88.42,3.471
9.7,8970,937.3,89.28,3.542
9.8,8969,937.1,90.14,3.613
9.9,8968,936.9,90.99,3.685
10,8968,936.7,91.85,3.758
10.1,8967,936.5,92.7,3.832
10.2,8966,936.3,93.55,3.906
10.3,8966,936.1,94.41,3.981
10.4,8965,935.9,95.26,4.056
10.5,8964,935.7,96.11,4.132
10.6,8963,935.6,96.95,4.209
10.7,8963,935.4,97.8,4.286
