# t, S,I, R
0,9000,1000,0
0.1,8982,1015,3.023
0.2,8964,1030,6.091
0.3,8945,1046,9.205
0.4,8926,1062,12.37
0.5,8907,1077,15.57
0.6,8888,1093,18.83
0.7,8868,1110,22.14
0.8,8848,1126,25.49
0.9,8828,1143,28.89
1,8808,1160,32.34
1.1,8787,1177,35.85
1.2,8767,1194,39.4
1.3,8746,1211,43.01
1.4,8724,1229,46.67
1.5,8703,1247,50.39
1.6,8681,1265,54.15
1.7,8659,1283,57.98
1.8,8636,1302,61.85
1.9,8614,1320,65.79
2,8591,1339,69.78
2.1,8568,1358,73.82
2.2,8544,1378,77.93
2.3,8521,1397,82.09
2.4,8497,1417,86.31
2.5,8473,1437,90.59
2.6,8448,1457,94.93
2.7,8423,1477,99.34
2.8,8398,1498,103.8
2.9,8373,1519,108.3
3,8347,1540,112.9
3.1,8322,1561,117.6
3.2,8295,1582,122.3
3.3,8269,1604,127.1
3.4,8242,1626,131.9
3.5,8215,1648,136.8
3.6,8188,1670,141.8
3.7,8161,1692,146.8
3.8,8133,1715,151.9
3.9,8105,1738,157.1
4,8077,1761,162.4
4.1,8048,1784,167.7
4.2,8019,1808,173.1
4.3,7990,1831,178.5
4.4,7961,1855,184.1
4.5,7931,1879,189.7
4.6,7901,1904,195.3
4.7,7871,1928,201.1
4.8,7840,1953,206.9
4.9,7810,1978,212.8
5,7779,2003,218.8
5.1,7747,2028,224.8
5.2,7716,2053,230.9
5.3,7684,2079,237.1
5.4,7652,2105,243.4
5.5,7619,2131,249.8
5.6,7587,2157,256.2
5.7,7554,2183,262.7
5.8,7521,2210,269.3
5.9,7487,2237,275.9
6,7453,2264,282.7
6.1,7420,2291,289.5
6.2,7385,2318,296.4
6.3,7351,2346,303.4
6.4,7316,2373,310.5
6.5,7281,2401,317.6
6.6,7246,2429,324.9
6.7,7211,2457,332.2
6.8,7175,2485,339.6
6.9,7139,2514,347.1
7,7103,2542,354.6
7.1,7067,2571,362.3
7.2,7030,2600,370
7.3,6994,2629,377.9
7.4,6957,2658,385.8
7.5,6920,2687,393.8
7.6,6882,2716,401.9
7.7,6845,2745,410.1
7.8,6807,2775,418.3
7.9,6769,2804,426.7
8,6731,2834,435.2
8.1,6693,2863,443.7
8.2,6654,2893,452.3
8.3,6616,2923,461
8.4,6577,2953,469.8
8.5,6538,2983,478.7
8.6,6499,3013,487.7
8.7,6460,3043,496.8
8.8,6421,3073,506
8.9,6381,3104,515.2
9,6342,3134,524.6
9.1,6302,3164,534
9.2,6262,3194,543.6
9.3,6222,3225,553.2
9.4,6182,3255,562.9
9.5,6142,3286,572.7
9.6,6101,3316,582.6
9.7,6061,3346,592.6
9.8,6021,3377,602.7
9.9,5980,3407,612.9
10,5939,3438,623.2
10.1,5898,3468,633.5
10.2,5858,3498,644
10.3,5817,3529,654.5
10.4,5776,3559,665.1
10.5,5735,3589,675.9
10.6,5694,3620,686.7
10.7,5652,3650,697.6
10.8,5611,3680,708.6
10.9,5570,3710,719.7
11,5529,3740,730.9
11.1,5487,3770,742.2
11.2,5446,3800,753.5
11.3,5405,3830,765
11.4,5363,3860,776.5
11.5,5322,3890,788.2
11.6,5281,3919,799.9
11.7,5239,3949,811.7
11.8,5198,3978,823.6
11.9,5157,4008,835.6
12,5115,4037,847.7
12.1,5074,4066,859.8
12.2,5033,4095,872.1
12.3,4991,4124,884.4
12.4,4950,4153,896.8
12.5,4909,4182,909.4
12.6,4868,4210,922
12.7,4827,4238,934.6
12.8,4786,4267,947.4
12.9,4745,4295,960.3
13,4704,4323,973.2
13.1,4663,4350,986.2
13.2,4623,4378,999.3
13.3,4582,4405,1012
13.4,4542,4432,1026
13.5,4501,4459,1039
13.6,4461,4486,1053
13.7,4421,4513,1066
13.8,4381,4539,1080
13.9,4341,4565,1093
14,4301,4591,1107
14.1,4262,4617,1121
14.2,4222,4643,1135
14.3,4183,4668,1149
14.4,4144,4693,1163
14.5,4105,4718,1177
14.6,4066,4743,1191
14.7,4028,4767,1205
14.8,3989,4791,1220
14.9,3951,4815,1234
15,3913,4838,1249
15.1,3875,4862,1263
15.2,3838,4884,1278
15.3,3800,4907,1292
15.4,3763,4930,1307
15.5,3726,4952,1322
15.6,3690,4974,1337
15.7,3653,4995,1352
15.8,3617,5016,1367
15.9,3581,5037,1382
16,3545,5058,1397
16.1,3509,5078,1412
16.2,3474,5099,1428
16.3,3439,5118,1443
16.4,3404,5138,1458
16.5,3369,5157,1474
16.6,3334,5176,1489
16.7,3300,5195,1505
16.8,3266,5213,1521
16.9,3232,5231,1536
17,3199,5249,1552
17.1,3165,5267,1568
17.2,3132,5284,1584
17.3,3099,5301,1600
17.4,3067,5318,1615
17.5,3034,5334,1631
17.6,3002,5350,1648
17.7,2970,5366,1664
17.8,2939,5382,1680
17.9,2907,5397,1696
18,2876,5412,1712
18.1,2845,5426,1728
18.2,2814,5441,1745
18.3,2784,5455,1761
18.4,2754,5469,1777
