# t, S, I, R
0,7000,3000,0
0.1,6959,2865,175.9
0.2,6920,2736,343.9
0.3,6883,2612,504.3
0.4,6848,2494,657.5
0.5,6815,2381,803.8
0.6,6783,2273,943.4
0.7,6753,2170,1077
0.8,6725,2071,1204
0.9,6697,1977,1325
1,6672,1887,1441
1.1,6647,1801,1552
1.2,6624,1719,1658
1.3,6601,1640,1759
1.4,6580,1565,1855
1.5,6560,1493,1947
1.6,6541,1425,2034
1.7,6523,1359,2118
1.8,6506,1297,2198
1.9,6489,1237,2274
2,6473,1181,2346
2.1,6459,1126,2415
2.2,6444,1075,2481
2.3,6431,1025,2544
2.4,6418,978.2,2604
2.5,6406,933.2,2661
2.6,6394,890.2,2715
2.7,6383,849.2,2768
2.8,6373,810,2817
2.9,6363,772.5,2865
3,6353,736.7,2910
3.1,6344,702.6,2954
3.2,6335,670.1,2995
3.3,6327,639,3034
3.4,6319,609.4,3072
3.5,6311,581.1,3108
3.6,6304,554.2,3142
3.7,6297,528.6,3174
3.8,6291,504.1,3205
3.9,6285,480.8,3234
4,6279,458.6,3263
4.1,6273,437.4,3289
4.2,6268,417.2,3315
4.3,6263,398,3339
4.4,6258,379.6,3362
4.5,6253,362.1,3385
4.6,6249,345.3,3406
4.7,6245,329.3,3426
4.8,6241,314,3445
4.9,6237,299.4,3464
5,6233,285.5,3481
5.1,6230,272.2,3498
5.2,6226,259.5,3514
5.3,6223,247.4,3529
5.4,6220,235.9,3544
5.5,6217,224.9,3558
5.6,6215,214.5,3571
5.7,6212,204.5,3583
5.8,6210,195,3595
5.9,6207,186,3607
6,6205,177.4,3618
6.1,6203,169.1,3628
6.2,6201,161.3,3638
6.3,6199,153.9,3647
6.4,6197,146.8,3656
6.5,6195,140,3665
6.6,6194,133.5,3673
6.7,6192,127.3,3681
6.8,6190,121.4,3688
6.9,6189,115.7,3695
7,6188,110.3,3702
7.1,6186,105.2,3709
7.2,6185,100.3,3715
7.3,6184,95.6,3721
7.4,6183,91.14,3726
7.5,6181,86.89,3732
7.6,6180,82.84,3737
7.7,6179,78.98,3742
7.8,6178,75.31,3746
7.9,6178,71.81,3751
8,6177,68.48,3755
8.1,6176,65.31,3759
8.2,6175,62.28,3763
8.3,6174,59.4,3766
8.4,6174,56.65,3770
8.5,6173,54.03,3773
8.6,6172,51.53,3776
8.7,6172,49.14,3779
8.8,6171,46.86,3782
8.9,6171,44.67,3785
9,6170,42.59,3787
9.1,6169,40.6,3790
9.2,6169,38.71,3792
9.3,6169,36.9,3795
9.4,6168,35.18,3797
9.5,6168,33.54,3799
9.6,6167,31.97,3801
9.7,6167,30.48,3803
9.8,6167,29.06,3804
9.9,6166,27.71,3806
10,6166,26.42,3808
10.1,6166,25.2,3809
10.2,6165,24.03,3811
10.3,6165,22.92,3812
10.4,6165,21.86,3814
10.5,6164,20.85,3815
10.6,6164,19.88,3816
10.7,6164,18.96,3817
10.8,6164,18.08,3818
10.9,6163,17.24,3819
11,6163,16.43,3820
11.1,6163,15.67,3821
11.2,6163,14.94,3822
11.3,6163,14.24,3823
11.4,6162,13.57,3824
11.5,6162,12.94,3825
11.6,6162,12.34,3825
11.7,6162,11.76,3826
11.8,6162,11.21,3827
11.9,6162,10.69,3828
12,6162,10.19,3828
12.1,6162,9.721,3829
12.2,6161,9.27,3829
12.3,6161,8.841,3830
12.4,6161,8.431,3830
12.5,6161,8.041,3831
12.6,6161,7.669,3831
